job_title,company_name,city,province,experience,years_of_exp,skills
Data Science Instructor,EpsilonAI -,"Nasr City, Cairo, Egypt",Cairo,Entry Level,1+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Data Analysis Instructor (Excel - Power BI),EpsilonAI -,"Nasr City, Cairo, Egypt",Cairo,Entry Level,1+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Power BI Data Analyst,Zeina Group -,"Sheikh Zayed, Giza, Egypt",Giza,Experienced,2+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Senior Data Analyst,Al Ahly capital holding - Al Ahly Tamkeen -,"Zamalek, Cairo, Egypt",Cairo,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Senior Data Analyst,Nile Projects & Trading -,"6th of October, Giza, Egypt",Giza,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Senior Data Engineer,Omnix International LLC -,"Cairo, Egypt",Egypt,Experienced,5 - 12 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Enterprise Data Warehouse and Business intelligence Engineer (Microsoft Technology SSIS-SSAS),"The Micro, Small & Medium Enterprise Development Agency  -","Dokki, Giza, Egypt",Giza,Entry Level,1 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
"Software Developer (ERP, Mobile Apps & Data Integration)",iLock -,"Cairo, Egypt",Egypt,Experienced,3 - 17 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Product Manager – Data & AI Products,HiRemoters -,"Cairo, Egypt",Egypt,Experienced,2 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Information Analyst – Data Scientist,Confidential -,"Maadi, Cairo, Egypt",Cairo,Experienced,5 - 8 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Science HOD,Sama International College -,"Shorouk City, Cairo, Egypt",Cairo,Experienced,5 - 15 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Data Scientist,Lumin -,"Sheikh Zayed, Giza, Egypt",Giza,Experienced,3+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
"Information Security Lead - Privacy, Risk & Access Management",Alshaya -,"Nasr City, Cairo, Egypt",Cairo,Experienced,5 - 7 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Business Data Analyst,ENAYA CARE INTERNATIONAL COMPANY FOR BEAUTY & COMFORT -,"Cairo, Egypt",Egypt,Experienced,3 - 5 Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
Data Analyst,Misr International Hospital -,"Dokki, Giza, Egypt",Giza,Experienced,2+ Yrs of Exp,"['IT/Software Development', 'Engineering - Telecom/Technology', 'Training/Instructor', 'Data Science', 'Computer Science', 'Computer Engineering', 'Python', 'Machine Learning', 'Deep Learning', 'Artificial Intelligence (AI)']"
